"site","latitude","longitude","SampleID","date","year","doy","temp_str","spcond","DOC_uM","TDN_uM","Cl_uM","F_uM","NO3_uM","SO4_uM","NH4_uM","TDP_uM","Na_uM","K_uM","Mg_uM","Ca_uM","Br_uM","lat","lon","pH","SRP_uM","SUVA","CO2_uM","CH4_uM","NO2_uM","DON_uM","oxalate_uM","Lt_uM","DOCDON","DOCTDN","DOCDIN","project","ecoregion","type.x","Area_km2","SLOPE_MIN","SLOPE_MAX","SLOPE_MEAN","SLOPE_STD","GRIDCODE","Aspect_Azm","Aspect_Cls","aspect_lin","aspect_lin2","cburntot","fireyear_rct","pctburn_rct","areaburn_rct","fireyear_lg","pctburn_lg","areaburn_lg","Quartzite.and.pelitic.schist","Pelitic.and.quartzitic.schist.of.the.Ruby.terrane","Unconsolidated.surficial.deposits..undivided","Quartz.monzonite..monzonite..and.syenite","Wickersham.and.Neruokpuk.units","Mafic.schist.and.amphibolite","Flysch.and.quartzite..Kandik.Group.and.equivalents","Eclogite.and.associated.rocks","Water","Pelitic.schist..including.Chena.River.sequence","Metagraywacke.and.phyllite","Andesite.and.basalt.flows","Poorly.consolidated.surficial.deposits","Felsic.granitic.rocks","Globe.quartzite.of.Weber.and.others..1992.","Igneous.rocks","Totatlanika.Schist","Mafic.igneous.rocks..central.and.northeast.Alaska","Older.carbonate.strata","Chert.of.Interior.Alaska","Quartz.mica.schist.of.the.Brooks.Range","Keevy.Peak.Formation.and.similar.rocks","Gneiss..schist..and.quartzite","schistTot","lat_new","long_new","type.y","orgsoil_extent","PADR_p25","PADR_p50","PADR_p75","TPI_p25","TPI_p50","TPI_p75","Pf_Prob_1m_mean_x","NDVI_p50__linear_trend__attr_.slope.","NDVI_p50__linear_trend__attr_.stderr.","NDVI_p50__sum_values","NDVI_p50__mean_abs_change","NDVI_p50__mean_change","NDVI_p50__mean_second_derivative_central","NDVI_p50__median","NDVI_p50__mean","NDVI_p50__standard_deviation","NDVI_p50__variation_coefficient","NDVI_p50__variance","NDVI_p50__root_mean_square","NDVI_p50__absolute_sum_of_changes","NDVI_p50__maximum","NDVI_p50__minimum","NDVI_p25","NDVI_p50","NDVI_p75","ObservedFraction","yrsincelg","yrsincerct","schist2","schist3"
"French",NA,NA,NA,NA,2019,NA,NA,109.646753246753,451.208333333333,26.8142857142857,5.98595323385891,5.68358072779591,12.4288095238095,80.6130224327278,0.519371840864537,0.978375,139.25902261939,20.9875100737306,161.933026778333,290.871641425884,0.0300360432519023,NA,NA,NA,NA,NA,NA,NA,NA,13.8661043496117,NA,NA,32.5403820681596,16.8271621381637,34.847236119533,"Burn_Streams","Interior","ppt_gw",44.16733786,0.000392203,39.03131866,12.34739776,7.366428915,34,252.293537055,"270 WE",0.862575954199148,0.0522047833836089,7.34,2013,0,0.001958659,1997,7.34,3.240911096,0,0,63.19,0,0,0,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0,64.60891647,-146.925,"ppt_gw",0.05,-0.971997359,-0.823950147,-0.706340603,-32.49275192,-5.498861858,30.49343442,32.33,-0.000507484,0.000843601,6.377817381,0.055560363,-0.001817532,-0.000733591,0.218723661,0.212593913,0.038886073,0.182912447,0.001512127,0.216121027,1.611250522,0.274426199,0.13377888,0.225617779,0.26075781,0.323239004,1,22,6,0,0
"Globe",NA,NA,NA,"2019-07-02",2019,183,9.2,251.9,245.875,23.92857143,10.3136546977689,7.97452363406674,20.8785714285714,1100.93113041503,1.07142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97857143000003,NA,NA,124.268952978865,10.2753731337149,11.2015945330296,"Burn_Streams","Interior","ppt_gw",67.38490172,0.019524027,39.37327194,11.15947707,5.660981045,35,211.601133963,"225 SW",0.0905314681620551,1.89027458481137,2.93,1957,2.93,1.976901881,1957,2.93,1.976901881,0,0,46.42,0,29.86,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,65.28415731,-148.136,"ppt_gw",0.04,-1.011824509,-0.793217371,-0.708036409,-33.02766868,-4.985763793,29.02311939,43.86,-0.00039916,0.000484765,6.095739073,0.026549792,-0.002242533,0.000676443,0.215814686,0.217704967,0.020225442,0.092902986,0.000409068,0.21864245,0.716844388,0.266604231,0.190419341,0.192379815,0.215819198,0.237304464,1,62,62,0,0
"Grouse",NA,NA,NA,"2019-07-03",2019,184,5.7,118.2,159,21.367857145,6.11372803429893,4.23202442362354,22.025,219.387952080849,0.464285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7.44108306794841,7.07003334921391,"Burn_Streams","Interior","ppt_gw",8.259731746,0.554071963,28.78962326,13.63491074,4.475627322,37,173.9350438,"180 SO",0.0812811224760145,1.87475309940647,130.8,2004,100,8.259731747,2004,100,8.259731747,89.2,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.2,65.23314195,-146.882,"ppt_gw",0.06,-0.951447959,-0.778908897,-0.673781071,-44.49495281,7.533860266,46.49897181,32.51,-0.000625007,0.001406021,5.54525748,0.045430825,-0.003253596,-0.002329607,0.20142444,0.19804491,0.058131678,0.293527757,0.003379292,0.206400287,1.226632278,0.299780919,0.065418316,0.258736156,0.286182952,0.317382478,1,15,15,89.2,89.2
"Hess",NA,NA,NA,NA,2018,NA,19.1,292.2,1306.666667,29.67857143,20.9,2.2426,0.7,595.1,NA,0.14318794,78.1006857,17.03236294,474.9954575,770.827144,0.113886664,65.667707,-149.096146,NA,NA,NA,3400,NA,NA,NA,NA,NA,NA,44.027276382959,NA,"Burn_Streams","Interior","ppt_gw",1727.16165,0,45.53594589,7.112290536,4.88634492,38,219.734194292,"225 SW",0.336956547905938,0.316952333015825,99.89,2011,0.34,5.812762131,1988,32.38,559.2549481,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,65.6656671,-149.096,"ppt_gw",0.33,-0.925614295,-0.816577487,-0.761724512,-18.98535858,-3.004331924,16.99179734,51.01,-0.000239277,0.000795059,5.965742844,0.032145033,-0.002304079,2e-05,0.234371796,0.229451648,0.029267405,0.127553694,0.000856581,0.2313107,0.803625836,0.283196991,0.16601211,0.196293267,0.219725062,0.249014021,1,30,7,0,0
"Hutlinana",NA,NA,NA,"2019-07-02",2019,183,9.2,276.3,262.66666665,22.542857145,24.0656644007559,4.10569533635119,14.9928571428571,192.1194572191,0.392857142857143,0.11125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.15714285928576,NA,NA,36.6999334530836,11.6518800150521,17.0721138955432,"Burn_Streams","Interior","ppt_gw",225.1303929,0,46.85043335,14.70761682,8.304190963,39,203.607512548,"225 SW",0.841141091033361,1.32707702511362,27.33,2010,22.63,50.9474533,2010,22.63,50.9474533,0,0,15.8,0,0,0,66.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.15657996,-150.153,"ppt_gw",0.03,-1.003721286,-0.792908575,-0.676291975,-42.9833272,-6.989580917,39.01291456,38.32,-0.000273919,0.000876291,5.574151148,0.033237099,-0.000854528,0.000806427,0.223629341,0.222966046,0.030369282,0.136205858,0.000922293,0.225024778,0.797690379,0.291009555,0.151368805,0.192385008,0.225588663,0.262680919,1,9,9,0,0
"Idaho",NA,NA,NA,"2019-07-03",2019,184,8.8,177.3,97.25,30.810714285,567.770005359208,10.3905674281503,31.5571428571429,602.597513200477,0.464285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3.15636953757173,3.03702877537363,"Burn_Streams","Interior","ppt_gw",14.01219071,0.590975225,39.92558289,16.58748482,5.467464211,40,199.129775553,"180 SO",0.0651563193101952,1.84305343127535,56.55,2011,4.16,0.583100009,1990,47.62,6.673302006,99.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.84,65.35295751,-146.163,"ppt_gw",0.04,-1.035560555,-0.80057919,-0.645156062,-54.97430159,3.020670592,50.98668298,46.17,0.001170851,0.001123391,5.886663839,0.047195875,0.00156054,-0.002848879,0.224603666,0.226410148,0.042199802,0.186386531,0.001780823,0.23030931,1.179896868,0.315407474,0.155254303,0.229512406,0.256850078,0.290043828,1,29,8,99.84,99.84
"Jenny_M",NA,NA,NA,"2019-07-01",2019,182,9,176.5,719.66666665,48.957142855,7.17287676642315,11.617012317086,29.8714285714286,359.836484414921,6.46428571428571,0.8045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6214285692857,NA,NA,57.0194303045309,14.699931913541,19.8060415433458,"Burn_Streams","Interior","ppt_gw",34.5033178,0.012155886,29.67406654,9.801087917,4.839785157,41,195.81348352,"180 SO",0.885327768550694,0.0762974939082759,0,1940,0,0,1940,0,0,0,0,38.28,0,0,0,0,0,0,39.17,0,0,0,0,0,0,0,0,0,0,0,0,0,39.17,64.87989566,-146.986,"ppt_gw",0.08,-0.926466094,-0.793580446,-0.699518098,-27.5101588,-1.494588902,28.49508038,24.72,-0.000275155,0.001150997,7.413938178,0.066770229,-0.002864462,-0.000707283,0.252920652,0.239159296,0.055493968,0.232037681,0.003079581,0.245513237,2.003106882,0.336923292,0.131817187,0.217791064,0.256867058,0.303682271,1,79,79,0,39.17
"Jim_River",NA,NA,NA,NA,2018,NA,10.6,59.6,155.8333333,14.61428571,5.5,0.5,9.527280353,102.6,NA,0.094710597,44.41779613,13.50592457,55.01522546,187.9782634,NA,66.8573985,-150.5672848,NA,NA,NA,880,NA,NA,NA,NA,NA,NA,10.6630824381221,NA,"Burn_Streams","Interior","ppt_gw",574.8170914,0,47.54866791,14.17700932,8.400673988,42,275.469712822,"270 WE",0.0445808486558218,1.06118371108047,13.66,2009,0.02,0.099025672,2005,13.64,1.518453236,0,35.88,21.51,29.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.88,66.88442188,-150.523,"ppt_gw",0.06,-1.066582375,-0.894311363,-0.761757823,-37.97868787,-6.024738494,33.97361809,37.43,0.001296569,0.001047685,5.524587515,0.037576898,0.002929759,-0.00170906,0.230476126,0.230191146,0.035180279,0.15283072,0.001237652,0.232863943,0.864268665,0.298840885,0.155283599,0.158213007,0.201177927,0.236308624,1,13,9,0,0
"Kanuti",NA,NA,NA,NA,2018,NA,10.8,35.8,468,17.41428571,6.5,3.2886,4.255082334,19.4,NA,0.262534858,50.18330766,7.361271081,77.41255447,73.54663656,NA,66.44344737,-150.6311583,NA,NA,NA,890,NA,NA,NA,NA,NA,NA,26.8744872912735,NA,"Burn_Streams","Interior","ppt_gw",426.7838402,0,36.2032547,6.328627173,4.440531764,43,233.48416677,"225 SW",0.876115202911232,0.0657809035147252,24.32,2017,0.01,0.036536809,2004,24.25,103.4805601,0,41.91,0,37.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.91,66.44081473,-150.632,"ppt_gw",0.42,-0.910998114,-0.839482085,-0.784728341,-16.49733909,-1.468177461,14.5016706,43.06,0.001737087,0.001199547,5.440454228,0.049499076,0.001464622,0.00072092,0.233401276,0.236541488,0.038240338,0.161664402,0.001462323,0.239612602,1.08897967,0.310550512,0.16699535,0.196300718,0.219727095,0.243156748,1,14,1,0,0
"Kokomo",65.175,-147.2764,NA,"2018-08-08",2018,220,NA,NA,520.33333335,30.585714285,5.1843285475,NA,13.58928571,313.5240917,NA,NA,NA,NA,NA,NA,3.681292551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0122995494398,NA,"Burn_Streams","Interior","ppt_gw",86.86793479,0.04772114,38.65287018,10.28356124,5.406579289,44,286.512078173,"270 WE",0.272542436822497,1.99989587658484,100.25,2004,100,86.86793479,2004,100,86.86793479,43.27,0,0,0,0,0,0,39.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.27,65.17618143,-147.268,"ppt_gw",0.11,-0.995628471,-0.854292907,-0.753757193,-29.00376337,-1.0130691,34.99655828,40.46,-0.001728313,0.001131566,5.788086164,0.042191725,-0.002189564,-0.002005532,0.193360256,0.192936205,0.053941848,0.279583854,0.002909723,0.200334975,1.223560011,0.290040602,0.051747966,0.143568578,0.174806294,0.19628754,1,14,14,43.27,43.27
"Left_Fork_Cache_Creek",NA,NA,13063,"2019-08-12",2019,224,NA,NA,NA,NA,8.95833920965786,6.54805769028319,25.1214285714286,350.223130642139,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burn_Streams","Interior","ppt_gw",31.22699944,0.294033587,35.24135208,13.10651432,6.160997657,93,142.900749522,"135 SE",0.0096304396600736,1.63135077574063,73.8,1958,73.8,23.04665956,1958,73.8,23.04665956,41.81,0,57.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.81,64.859253,-148.379064,"ppt_gw",0.03,-0.933574334,-0.768681503,-0.691113817,-41.01419655,-5.006544365,41.03342105,31.65,-0.000371467,0.000760461,6.44035743,0.038648319,-0.00139604,-0.000723962,0.215786814,0.222081291,0.033206152,0.149522509,0.001102649,0.224550102,1.08215292,0.293939344,0.163051207,0.174762207,0.211929358,0.254831409,1,61,61,41.81,41.81
"Little_Salcha",NA,NA,NA,"2019-07-08",2019,189,NA,NA,509.875,13.596428575,7.22505852819225,4.50573744604695,0.715400142857143,73.6893203883495,0.192857142857143,1.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6881712892857,NA,NA,40.1850659464658,37.5006566752034,561.377274941446,"Burn_Streams","Interior","ppt_gw",176.88579,0,40.39019775,10.81470394,7.544660572,45,264.830947566,"270 WE",0.852454511280144,0.0433687109943027,1.67,1997,0.06,0.105424686,1966,1.61,2.839994792,0,0,69.04,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,6.7,64.52137747,-146.949,"ppt_gw",0.09,-0.933528225,-0.807884277,-0.745944971,-26.99647894,-2.953426226,26.95893486,31.23,-0.000343281,0.000851973,6.689377298,0.054011461,0.001414606,-0.002092292,0.233400144,0.222979243,0.039133565,0.175503176,0.001531436,0.226387232,1.566332357,0.290987544,0.129882683,0.221680627,0.260731314,0.321290144,1,53,22,0,0
"Livengood",NA,NA,NA,NA,2018,NA,12.3,802.1,1108.333333,54.61428571,104.5,12.1482,3.4,1473.6,NA,1.033288547,269.2238866,31.99772259,1750.283544,1924.51359,0.143922707,NA,NA,NA,NA,NA,9570,NA,NA,NA,NA,NA,NA,20.2938355522072,NA,"Burn_Streams","Interior","ppt_gw",53.608142,0,41.3488121,8.797746307,5.645353318,47,233.145911514,"225 SW",0.745477384382351,0.000350510297429496,0,1940,0,0,1940,0,0,0,0,35.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87,26.63,13.57,0,0,0,0,65.51430367,-148.571,"ppt_gw",0.09,-0.97245387,-0.831332753,-0.754022374,-23.47656951,-4.477284733,24.49437247,43.03,-0.002162533,0.000929982,6.327936437,0.040474245,-0.006186198,-0.000338945,0.236326044,0.22599773,0.042099762,0.186284005,0.00177239,0.229885545,1.092804627,0.302712116,0.104451302,0.16111499,0.192399213,0.211915793,1,78,78,0,0
"Lost",NA,NA,NA,"2019-07-02",2019,183,10,383.7,1057.16666685,42.21785714,7.42861440968794,4.4548548970067,2.85714285714286,1109.05581104866,5.17857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1821428542857,NA,NA,30.9274544710837,25.0407466997743,131.558518541333,"Burn_Streams","Interior","ppt_gw",135.4207237,0,31.89691925,5.452982868,4.341060011,48,231.772002298,"225 SW",0.120842681627776,0.77848803798708,87.74,2019,22.05,29.86123062,2003,53.18,72.01840927,0,0,41.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.99,0,0,0,0,65.51779542,-148.799,"ppt_gw",0.38,-0.909734721,-0.814765613,-0.785186861,-9.477000535,-2.514781553,8.494966704,49.57,-0.001202913,0.000800989,6.368046591,0.036167515,-0.003255018,0.000318958,0.232419046,0.227430235,0.034392788,0.151223463,0.001182864,0.230016034,0.976522907,0.290040891,0.161128692,0.168961069,0.196285609,0.225581437,1,16,0,0,0
"Mammoth",NA,NA,NA,"2019-07-03",2019,184,12.4,288.7,316.91666665,15.271428575,8.74115025526754,5.90325297399726,8.98928571428572,877.63583716573,0.535714285714286,0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74642857499999,NA,NA,55.1501967724362,20.7522606738185,33.2720909868766,"Burn_Streams","Interior","ppt_gw",101.6224997,0.076487429,40.82781982,15.64043686,6.423766794,49,57.5947715835,"045 NE",0.888923933856794,0.0807110346633642,6.81,2004,6.81,6.922097894,2004,6.81,6.922097894,75.24,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.34,65.55133995,-145.174,"ppt_gw",0.05,-1.121108543,-0.879129649,-0.676144067,-53.0430978,-0.995216627,51.00886049,46.29,0.000644045,0.000797682,5.582046581,0.031847554,0.000934272,-0.001775628,0.236825615,0.232585274,0.026280008,0.112990852,0.000690639,0.234065266,0.732493734,0.284182844,0.18653089,0.233393786,0.264653257,0.295901871,1,15,15,75.24,75.24
"Mckay",NA,NA,NA,"2019-07-03",2019,184,6.3,116,146.20833335,35.71071429,5.76114856288607,4.83208758816717,39.4964285714286,205.33753477545,0.192857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4.09424275758445,3.68382375038243,"Burn_Streams","Interior","ppt_gw",18.94098156,0.214392364,31.8561306,13.42792069,4.386225737,50,190.055138075,"180 SO",0.993119593835111,0.392590868204352,100,2004,100,18.94098156,2004,100,18.94098156,89.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.86,65.22187201,-147.162,"ppt_gw",0.03,-0.940469375,-0.792668829,-0.691775927,-45.49238281,3.470498449,43.48817554,29.96,-0.0023223,0.001554885,5.917491473,0.055169361,-0.004772997,-0.003607653,0.19728504,0.211338981,0.066734314,0.31576907,0.004453469,0.221624984,1.489572734,0.33499403,0.073224042,0.274381981,0.307659079,0.34478322,1,15,15,89.86,89.86
"McManus_Creek",NA,NA,14120,"2019-08-21",2019,233,NA,NA,NA,NA,7.8159817222802,3.83724602589746,21.4642857142857,361.611309827968,0.678571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burn_Streams","Interior","ppt_gw",110.5818807,0.066102065,39.92558289,14.03509633,5.367280333,94,213.796519078,"225 SW",0.506674223279323,0.109957959776393,24.73,2011,4.36,0.01576214,2004,14.24,15.74978499,99.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.72,65.293482,-146.342532,"ppt_gw",0.07,-1.035411942,-0.839944205,-0.67608576,-44.98591646,1.016324526,43.01028839,50.1,0.000268646,0.000987204,5.375906576,0.043618338,0.000569567,-0.003056635,0.211918453,0.215036263,0.034195629,0.159022616,0.001169341,0.217738227,1.046840108,0.29588989,0.15527528,0.221699375,0.250981016,0.284174149,1,15,8,99.72,99.72
"Montana",NA,NA,NA,"2019-07-03",2019,184,9.7,104.9,103.875,24.864285715,2.74306828759202,1.89230445310033,23.4428571428571,128.013966956226,0.192857142857143,0.10375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22857142928576,NA,NA,84.5494185554915,4.177678827803,4.39483227561198,"Burn_Streams","Interior","ppt_gw",11.01273497,0.737475514,33.22232819,14.64065816,4.776887776,51,166.740085557,"180 SO",0.45964139060196,1.91874635595501,2.45,2011,2.45,0.269735342,2011,2.45,0.269735342,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,65.3607767,-146.09,"ppt_gw",0.05,-0.970347083,-0.772050483,-0.6660524,-44.9404621,-1.11091684,40.95550803,49.49,-7.31e-06,0.001054903,6.208103837,0.041342031,0.001546073,-0.003311583,0.249024459,0.248324153,0.036482004,0.14691283,0.001330937,0.250989685,0.992208735,0.334988839,0.190445109,0.243148994,0.274384653,0.30371012,1,8,8,100,100
"Monument",NA,NA,NA,"2019-07-01",2019,182,10,107.7,144.04166665,37.55992143,13.537641384368,17.6123802505527,34.1464285714286,186.608754896951,1.17857142857143,0.1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23492142999997,NA,NA,64.450438711844,3.83498317264717,4.07761264401981,"Burn_Streams","Interior","ppt_gw",69.33099897,0.101513803,43.3535347,18.24037701,7.530253409,52,278.24430373,"270 WE",0.999145146319608,0.584744455605101,26.46,2004,26.46,18.34487198,2004,26.46,18.34487198,53.92,0,16.18,0,0,0,0,0,0,0,0,0,0,29.3,0,0,0,0,0,0,0,0,0,53.92,65.05452683,-146.057,"ppt_gw",0.04,-1.159981805,-0.934206011,-0.691003325,-54.9827065,-7.009280418,48.99318904,37.41,-0.000853063,0.000863174,6.123195473,0.044916475,-0.000794897,-0.003454966,0.209966953,0.218685553,0.036214556,0.165601045,0.001311494,0.221663856,1.212744833,0.2959205,0.157247934,0.237295308,0.282199322,0.342784723,1,15,15,53.92,53.92
"Monument_Creek_2",NA,NA,NA,"2019-07-01",2019,182,10.7,123.9,142.08333335,34.26233571,50.428736637238,51.0922202337088,27.8107142857143,190.926020553001,0.571428571428572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88019285285713,NA,NA,24.1630397004689,4.1469249076481,5.00608196023656,"Burn_Streams","Interior","ppt_gw",83.45031495,0.075889267,43.3535347,17.39780967,7.43248142,53,292.615545489,"315 NW",0.355798324937054,1.9812122334857,24.41,2004,24.41,20.36753638,2004,24.41,20.36753638,53.92,0,16.18,0,0,0,0,0,0,0,0,0,0,29.3,0,0,0,0,0,0,0,0,0,53.92,65.067179,-146.085341,"ppt_gw",0.04,-1.143970732,-0.934115671,-0.699584576,-53.01037241,-5.023757272,46.97638985,36.63,-0.001016383,0.000873054,6.234426328,0.045275303,-0.00072267,-0.003604944,0.215340566,0.222658083,0.036885198,0.165658474,0.001360518,0.225692578,1.22243317,0.301766426,0.161129284,0.241235335,0.282210765,0.338861552,1,15,15,53.92,53.92
"Moose",NA,NA,NA,NA,2019,NA,NA,130.988888888889,734.482638888889,41.0636904761905,12.2406190355306,29.4734728411958,18.4677248677249,40.2351417153895,1.68621111111111,1.16341666666667,185.974159259259,18.5343851851852,137.805177777778,448.251007407407,0.0317047123214524,NA,NA,NA,NA,NA,NA,NA,NA,20.9097544973545,NA,NA,35.1263157576439,17.886425461802,36.4436326313719,"Burn_Streams","Interior","ppt_gw",111.3046678,0,38.54627228,10.21119216,6.559047648,54,268.088054172,"270 WE",0.109018512686194,1.91668138399956,68.24,2018,0.24,0.268174567,2013,65.7,73.13156609,0,0,37.37,0,0,0,0,0,0,0,0,0,0,24.41,0,0,0,0,0,0,0,0,0,0,64.71339886,-147.051,"ppt_gw",0.09,-0.941574495,-0.815681374,-0.746584223,-24.99526481,-3.001850446,25.00489283,28.19,-0.001170615,0.000924909,6.469630647,0.048379821,-0.000243292,5.35e-05,0.227532023,0.223090712,0.041385216,0.185508466,0.001712736,0.226896897,1.35463499,0.298825275,0.143563572,0.225588968,0.258797953,0.301724161,1,6,1,0,0
"Moose_Steese",NA,NA,NA,"2019-07-03",2019,184,4.9,136.7,127.0833333,32.707142855,8.73268834795363,3.25560585324771,25.7642857142857,180.986203372509,2.39285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54999999785716,NA,NA,27.9304029362308,3.88549173687828,4.513360391172,"Burn_Streams","Interior","ppt_gw",11.76751939,0.370345175,27.5342617,12.70549469,4.558029786,56,193.088847058,"180 SO",0.0186479354257682,1.68941324650036,168.15,2004,99.55,11.71427857,2004,99.55,11.71427857,89.2,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.2,65.229503,-146.942,"ppt_gw",0.09,-0.932527394,-0.778726467,-0.690357138,-41.46523031,7.486502907,41.50832175,33.15,0.000641078,0.001347108,5.484954375,0.053575853,-0.003400609,-0.002292511,0.191670477,0.195891228,0.055726605,0.284477288,0.003105455,0.203663516,1.446548038,0.288085844,0.063450211,0.254876342,0.280325745,0.311540594,1,15,15,89.2,89.2
"Mp_314_Richardson",NA,NA,NA,"2019-07-08",2019,189,NA,NA,1825,75.21707143,3.05192790454969,15.4305716391199,1.37142857142857,48.9059217623346,14.8214285714286,0.7315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.0242142871428,NA,NA,30.9195136613201,24.2631089632148,112.704014115571,"Burn_Streams","Interior","ppt_gw",7.909808714,0,25.92415428,8.348609316,5.556178471,57,281.996492765,"270 WE",0.107803827588886,0.818636579265198,1.73,1997,1.73,0.137095765,1997,1.73,0.137095765,0,0,77.91,0,0,0,0,0,0,17.85,0,0,0,0,0,0,0,0,0,0,0,0,0,17.85,64.3539804,-146.864,"ppt_gw",0.05,-0.943328,-0.833067521,-0.775117035,-22.49954806,-5.49601702,24.47870904,21.38,-0.000836912,0.001045174,7.415848118,0.063911074,0.00033574,-3.48e-05,0.248034002,0.247194937,0.04841424,0.195854498,0.002343939,0.251891397,1.853421137,0.325203249,0.15916687,0.211855705,0.276344106,0.32902685,1,22,22,0,17.85
"NoName",NA,NA,NA,NA,2018,NA,14.8,206.5,799.3333333,24.23571429,37.2,48.711,1.6,101.5,NA,0.863258848,219.5906956,14.63846311,185.4137144,596.879759,0.560672807,66.11638889,-150.1633056,NA,NA,NA,670,NA,NA,NA,NA,NA,NA,32.9816288364901,NA,"Burn_Streams","Interior","ppt_gw",320.2635535,0,28.99262238,4.600790005,3.597703123,59,163.767353361,"180 SO",0.623539962530698,0.0279631999191173,86.26,2015,4.5,14.40938531,2004,81.76,261.8432848,0,45.03,17.85,0,0,0,0,0,0,0,0,0,7.56,0,0,0,0,0,0,0,0,0,0,45.03,66.11640329,-150.165,"ppt_gw",0.45,-0.862226616,-0.823613528,-0.785530217,-9.495775377,-1.502455296,7.493782103,52.18,0.001210072,0.001300465,4.453050125,0.025035943,0.000621192,-0.00051175,0.204093729,0.193610875,0.040337387,0.208342568,0.001627105,0.197768237,0.550790739,0.26660316,0.096680014,0.180670616,0.204093729,0.237282108,1,14,3,0,0
"North_Fork_Chena_HSR",NA,NA,NA,"2019-07-01",2019,182,8.2,246.5,225.5,28.567785715,7.75674837108284,11.1064322560269,27.7392857142857,719.110884006132,2.14285714285714,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7.89350642187145,7.54631289590057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pilot_Captain",NA,NA,NA,NA,2019,NA,NA,NA,410.5,28.41428571,8.755253434,NA,17.07857143,499.6631842,NA,NA,NA,NA,NA,NA,1.041249499,65.1401,-147.415393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4469582726667,NA,"Burn_Streams","Interior","ppt_gw",37.44054308,0.029782692,33.94794464,11.1827208,5.025167927,61,327.512512203,"315 NW",0.795382414340958,0.0105372906654064,99.96,2004,99.96,37.42512422,2004,99.96,37.42512422,50.42,0,6.39,0,0,0,0,40.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42,65.14221,-147.42,"ppt_gw",0.08,-0.994108294,-0.904462121,-0.818028972,-38.50554347,1.50455058,41.51145252,38.13,-0.001779201,0.001283702,5.536047856,0.040392671,-0.002720888,-0.00108555,0.196270255,0.190898202,0.057758987,0.302564332,0.003336101,0.19944479,1.130994792,0.282238904,0.047838056,0.213848456,0.245106176,0.28028734,1,15,15,50.42,50.42
