"ID","assigned_sample_label","UAFID","samplewt_mg","Nsignal_V","pctN","del15N","N_mgkg","uncertainty15N_pmil","rundate","possibleID","field_station_number","type","type_b","Statelayer_rocktype","graphite","mica","mafic","muscovite","biotite","garnet","garent size","meta_grade","texture","grain-size","deformation","clastic","structures present","deform"
"91KC223","91KC223","45",99.5,0.515,0.0105177728401468,3.163,105.177728401468,0.1,230427,NA,"91KC223","meta","schist","schist","no","0.15",NA,"yes","no","yes","medium","amphibolite","well developped foliation","sine-coarse","moderate",NA,"no","moderate"
"91LB9","91LB009","50",100.018,0.226,0.00459166200290511,-13.044,45.9166200290511,1,230427,NA,"91LB009","ig","granite","granite","no","0.1","0.2","yes","yes",NA,NA,NA,NA,"coarse",NA,NA,NA,NA
"49","91LB021","49",99.539,0.059,0.00121309375755331,-4.713,12.1309375755331,2,230403,"91LB021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91LB21","91LB21","49",99.801,0.167,0.00340033117161984,-0.979,34.0033117161984,1,230427,NA,"91LB021","ig","dacite","granite","no",">5%","0.05","no","yes",NA,NA,NA,NA,"fine/med",NA,NA,NA,NA
"91RN11","91RN011","19",39.201,1.697,0.087967922391421,-4.646,879.67922391421,0.1,230427,NA,"91RN011","ig","quartz_diorite","granite","no","0.1","0.8","no","yes",NA,NA,NA,NA,"fine/med",NA,NA,NA,NA
"91SL62D","91SL062D","1",100.328,1.172,0.0237380530109953,1.073,237.380530109953,0.1,230427,NA,"91SL062D","meta","schist","schist","no","0.1",NA,"yes","no","no",NA,"greenschist","no foliation","fine/med","low",NA,"no","low"
"1","91SL062D","1",99.671,0.193,0.00396300046302984,7.695,39.6300046302984,1,230403,"91SL062D","91SL062D","meta","schist","schist","no","0.1",NA,"yes","no","no",NA,"greenschist","no foliation","fine/med","low",NA,"no","low"
"91SL67A","91SL067","52",100.268,1.01,0.0204953024214434,-1.238,204.953024214434,0.1,230427,NA,"91SL067","ig","gabbro","granite","no","0","0.9","no","no",NA,NA,NA,NA,"fine",NA,NA,NA,NA
"97KC03","97KC003","26",99.772,3.541,0.0721201941569007,-2.335,721.201941569007,0.1,230427,NA,"97KC003","sed","breccia","conglomerate","no",NA,NA,NA,NA,NA,NA,NA,NA,"coarse",NA,"yes",NA,NA
"26","97KC003","26",100.308,0.067,0.00136701997655993,7.333,13.6701997655993,2,230403,"97KC003","97KC003","sed","breccia","conglomerate","no",NA,NA,NA,NA,NA,NA,NA,NA,"coarse",NA,"yes",NA,NA
"97RR86A","97RR086A","47",100.085,0.318,0.00645650906312321,0.273,64.5650906312321,0.1,230427,NA,"97RR086A","ig","granite","granite","no","0.05","0.3","no","yes",NA,NA,NA,NA,"fine/med",NA,NA,NA,NA
"97SL77","97SL077","27",100.279,1.347,0.0272958887724594,-3.049,272.958887724594,0.1,230427,NA,"97SL077","sed","chert","chert","no",NA,NA,NA,NA,NA,NA,NA,NA,"fine",NA,"no",NA,NA
"9752159B","97SL159B","37",100.146,0.143,0.00290163023841557,-4.2,29.0163023841557,1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-4 peroxide","C-4 peroxide",NA,49.754,0.75,0.03,3.49,311.53,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3 rocks","C3 rocks",NA,47.408,0.41,0.02,1.05,179.752788,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3-1a","C3-1a",NA,50.288,0.68,0.03,4.93,278.34,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3-1b","C3-1b",NA,47.28,0.25,0.01,4.54,110.1463174,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3-2","C3-2",NA,49.796,0.76,0.03,1.82,313.3297813,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3-3","C3-3",NA,47.319,0.23,0.01,3.24,100.0504868,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chat-2","Chat-2",NA,51.63,1.13,0.05,2,451.31,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 0-5","OD-11 0-5","56",99.727,0.668,0.0136288439000165,-4.428,136.288439000165,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","OD-11 0-5","56",100.22,0.471,0.00961838459120271,-3.396,96.1838459120271,0.1,230403,"OD-11 0-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 10","OD-11 10","57",100.045,2.281,0.0463900890605554,2.982,463.900890605554,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 100","OD-11 100","61",99.83,0.978,0.0199330195744948,-3.334,199.330195744948,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 140","OD-11 140","62",99.867,0.109,0.0022207506792754,6.817,22.207506792754,2,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 175","OD-11 175","63",100.038,0.071,0.00144407136977774,-1.632,14.4407136977774,2,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 200","OD-11 200","64",99.703,1.07,0.0218358881523354,0.798,218.358881523354,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 25","OD-11 25","58",99.879,0.131,0.00266865492194388,0.026,26.6865492194388,1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 250","OD-11 250","65",100.323,1.284,0.0260411298280829,0.691,260.411298280829,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 300","OD-11 300","66",99.922,0.781,0.0159032258020064,3.399,159.032258020063,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 350","OD-11 350","67",100.277,0.127,0.00257690078547323,3.149,25.7690078547323,1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 400","OD-11 400","68",99.712,0.375,0.00765207380123552,4.914,76.5207380123552,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 450","OD-11 450","69",100.192,0.065,0.00132000513378238,4.964,13.2000513378238,2,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 50","OD-11 50","59",99.805,3.377,0.0688452642478947,1.061,688.452642478947,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 500","OD-11 500","70",99.924,0.076,0.00154753005078602,-0.407,15.4753005078602,2,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 75","OD-11 75","60",100.223,0.108,0.00219256090783765,-1.164,21.9256090783765,2,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PM 310","PM10","71",99.919,0.303,0.00617006670360979,2.075,61.7006670360979,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PM-3 100","PM100","76",99.755,0.118,0.0024068146366202,7.541,24.068146366202,1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PM 3122","PM122","77",99.986,0.915,0.0186198942071876,1.384,186.198942071876,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PM 315","PM15","72",99.81,0.267,0.0054429270714616,-9.024,54.429270714616,0.1,230427,NA,NA,"meta","schist","schist","no","0.15",NA,"yes","no","no",NA,"greenschist","foliated","fine","min",NA,"no","low"
"72","PM15","72",100.055,0.15,0.003068231274488,0.972,30.68231274488,1,230403,"PM15",NA,"meta","schist","schist","no","0.15",NA,"yes","no","no",NA,"greenschist","foliated","fine","min",NA,"no","low"
"PM 321","PM21","73",99.577,4.867,0.0994483582305801,-1.148,994.483582305801,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PM 350","PM50","74",100.006,0.479,0.00974551436764869,-0.571,97.4551436764869,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PM 375","PM75","75",99.873,0.21,0.0042782534459416,-2.251,42.782534459416,1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN503 L30","TN503 L30","78",99.753,0.078,0.00159097716596703,-5.519,15.9097716596703,2,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN503L 110","TN503L 110","81",99.931,0.269,0.00545872263740395,3.175,54.5872263740395,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN503L 150","TN503L 150","82",99.832,0.095,0.00192971341029321,2.522,19.2971341029321,2,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN503L 200","TN503L 200","83",99.941,1.175,0.0238414770274736,2.729,238.414770274736,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN503L 250","TN503L 250","84",100.1,1.902,0.0385314556741676,2.028,385.314556741676,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","TN503L 298","87",100.406,1.026,0.0209133364575349,0.863,209.133364575349,0.1,230403,"TN503L 298",NA,"meta","peliticschist","schist","no","0.15",NA,"yes","no","no",NA,"eclogite","slightfoliation","fine-med","none",NA,"no","none"
"TN503L 298","TN503L 298","87",99.95,1.139,0.0231089337207456,0.87,231.089337207456,0.1,230427,NA,NA,"meta","peliticschist","schist","no","0.15",NA,"yes","no","no",NA,"eclogite","slightfoliation","fine-med","none",NA,"no","none"
"TN503L 300","TN503L 300","85",100.162,0.48,0.00971800752304088,1.484,97.1800752304088,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN503L 50","TN503L 50","79",100.43,0.209,0.00423426595823501,-2.838,42.3426595823501,1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN503L 55","TN503L 55","86",99.952,1.045,0.0212013630636736,3.704,212.013630636736,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN503L 75","TN503L 75","80",99.833,0.615,0.0125341908577807,4.061,125.341908577807,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.378,2.771,14.896504236578,6.793,148965.04236578,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.467,3.437,14.9555465896037,6.861,149555.465896037,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.419,3.054,14.9173142726461,6.871,149173.142726461,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.706,5.24,15.082253096608,6.905,150822.53096608,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.364,2.693,15.0532501733749,6.919,150532.501733749,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.388,2.969,15.6608057082724,6.919,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.663,4.854,14.9837967454985,6.926,149837.967454985,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.685,5.095,15.2226143986426,6.937,152226.143986426,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.357,2.719,15.4447176355774,6.975,154447.176355774,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.418,3.046,14.8268511222861,6.977,148268.511222861,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.626,4.756,15.4385728433262,7.012,154385.728433262,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.525,4.076,15.7766398098774,7.023,157766.398098774,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.499,3.689,14.9915691026623,7.029,149915.691026623,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.316,2.387,15.318079449835,7.038,153180.79449835,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.527,4.014,15.4456338119252,7.051,154456.338119252,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.625,4.648,15.1314801202098,7.086,151314.801202098,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.483,3.675,15.4614368576661,7.132,154614.368576661,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.691,5.302,15.6119440284432,7.155,156119.440284432,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.478,3.622,15.4175675154855,7.181,154175.675154855,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.368,2.805,15.4890465663405,7.192,154890.465663405,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.358,2.749,15.7154688749404,7.228,NA,0.1,230403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ref/chk/peptone",NA,NA,0.569,4.407,15.7589070402005,7.253,157589.070402005,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"12LF247A 1302-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12LF247A","ig","granite","granite","no","0.15","0","yes","no",NA,NA,NA,NA,"very coarse",NA,NA,NA,NA
NA,"12LF247A H.S STN TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12LF247A","ig","granite","granite","no","0.1","0.45","no","yes",NA,NA,NA,NA,"medium",NA,NA,NA,NA
NA,"81MR83",NA,NA,NA,NA,NA,NA,NA,NA,NA,"81MR083","meta","schist","schist","no","0.1",NA,"yes","yes","yes","small","greenschist","foliated","medium","low",NA,"joints ,folds","low"
